Code;Nom;Famille;Coefficient;PrixBaseHT;PrixBaseTTC
EFFEANALOG2;Rack de traitement dynamiques et de multi-effet composé de :;COMPO.;0;€0,00 ;€0,00 
EFFEFOH2;Rack de multi-effet composé de:;COMPO.;1;€0,00 ;€0,00 
ELECTRO;Electricien OHQ habilité BC;PERS.;1;€420,00 ;€504,00 
EW145;HF main Sennheiser Capsule cardio EW145 + récepteur;HF.;1;€40,00 ;€48,00 
EW300;HF main Sennheiser SKM335G2  MD935 supercardio. + récepteur;HF.;1;€40,00 ;€48,00 
EW500;HF main Sennheiser EW500 G2 capsule e840 + récepteur;HF.;1;€52,00 ;€62,40 
FL1300;Blinder 2 lampes 1300W;;1;€10,00 ;€12,00 
FOURCHE;"Fourche pour 2 enceintes en ""U"" à emboîter sur pied diam.35mm";ACC.;1;€4,00 ;€4,80 
FOURNITURES;Consommables divers: gaffer, tape, adhesifs...;CONS.;1;€15,00 ;€18,00 
FP10K;Amplificateur classe td 4x 2,5kW sous 2 ohm;AMP.;1;€50,00 ;€60,00 
FP14K;Amplificateur class td  2 x 7000 W @ 2 ohm  Total 14kW;AMP.;1;€60,00 ;€72,00 
FUMEE;Machine à fumée;;1;€10,00 ;€12,00 
GATEDRAWMER;Quadruple Gate Drawmer MX40;PERI.;1;€15,00 ;€18,00 
GMA2LT;Console Gd MA2 light en flight;;1;€350,00 ;€420,00 
HELIUM2.7;Bouteille d'helium 2.7m3;;1;€110,00 ;€132,00 
HFCRAVAT;Micro cravate Sennheiser UHF 650 MHz + récepteur;HF.;1;€40,00 ;€48,00 
HFPOCKET;HF Sennheiser Emetteur Pocket + récepteur EW300;HF.;1;€40,00 ;€48,00 
HFSERR;Mic.Serre-tête Beyer & émetteur/récepteur Sennheiser;HF.;1;€40,00 ;€48,00 
HOTEL;Chambre d'hotel single + petit déjeuner pour 1 tech.;OPTION.;1;€60,00 ;€72,00 
HP10M;Câble haut parleur 4 points Speakon longueur 10m;CABHP.;1;€0,60 ;€0,72 
HP15M;Câble haut parleur 4 points Speakon longueur 15m;CABHP.;1;€0,70 ;€0,84 
HP20M;Câble haut parleur 4 points Speakon longueur 20m;CABHP.;1;€0,80 ;€0,96 
HP3M;Câble haut parleur 4 points Speakon longueur 3m;CABHP.;1;€0,40 ;€0,48 
HP6M;Câble haut parleur 4 points Speakon longueur 6m;CABHP.;1;€0,50 ;€0,60 
HP8/10M;Câble haut parleur 8 points Speakon longueur 10m;CABHP.;1;€0,80 ;€0,96 
HP8/15M;Câble haut parleur 8 points Speakon longueur 15m;CABHP.;1;€1,00 ;€1,20 
HP8/5M;Câble haut parleur 8 points Speakon longueur 5m;CABHP.;1;€0,60 ;€0,72 
HQ6.5;Ampli HQ6.5 LAB 2x2000W/2ohm - 2x650W/8ohm;AMP.;1;€20,00 ;€24,00 
INTERCOM;Unité centrale 2 canaux + 2 boitiers ceinture filaire;ACC.;1;€42,00 ;€50,40 
INTERCOM2;Boîtier ceinture filaire + casque;ACC.;1;€11,00 ;€13,20 
IPAD;IPad 2 16GO Wi-Fi;PERI.;1;€40,00 ;€48,00 
JEREM;Affaire suivie par Jérémy;;0;€0,00 ;€0,00 
JUNO;"JUNO ligne source 2x10"" - 100°(H) x 4°(V)";ENC.;1;€35,00 ;€42,00 
JUNOSUB;"Sub grave pour ligne Juno 18"" 1600W Aes";ENC.;1;€30,00 ;€36,00 
